order_id,trade_date,symbol,region,sector,side,urgency,strategy,venue,hedge_basket,arrival_mid,avg_fill_price,benchmark_mid_5m,benchmark_mid_30m,order_qty,filled_qty,completion_rate_pct,participation_rate_pct,fill_minutes,vol_1m_pct,spread_bps,slippage_bps,shortfall_bps,implementation_shortfall_usd,pre_beta_usd,post_beta_usd,hedge_notional_usd,beta_reduction_pct,time_to_flat_min,fill_quality_score
EXE0001,2026-01-05,USE001,US,Semis,BUY,Patient,TWAP,XNAS,HXUS,110.21,110.27,110.17,110.31,7214,6621,91.77,11.37,37.46,0.56,3.0,5.46,5.46,398.42,-941259.49,-331715.0,706081.29,64.76,43.3,74.63
EXE0002,2026-01-06,EHE002,Europe,Healthcare,SELL,Normal,Manual Hedge,XAMS,HXEU_GROWTH,66.62,66.5,66.49,66.84,20736,20706,99.85,14.62,19.19,1.63,9.36,17.74,17.74,2447.13,-150862.22,-6034.49,119654.58,96.0,10.13,51.37
EXE0003,2026-01-07,ACO003,Asia,Consumer,BUY,Urgent,Liquidity Seeking,XTKS,HXAS,51.5,51.59,51.29,51.7,17484,16834,96.28,24.92,13.62,1.12,7.67,16.78,16.78,1454.83,183822.38,55132.07,140373.39,70.01,12.81,52.39
EXE0004,2026-01-08,USE004,US,Semis,SELL,Patient,VWAP,XNAS,HXUS_TECH,59.67,59.63,59.49,59.71,5328,5150,96.66,8.99,38.1,1.55,6.1,7.61,7.61,233.86,32834.83,8180.45,26335.91,75.09,26.16,73.94
EXE0005,2026-01-09,EHE005,Europe,Healthcare,BUY,Normal,TWAP,XPAR,HXEU,95.2,95.33,94.89,95.97,3069,2963,96.56,11.67,20.0,1.42,9.79,13.36,13.36,376.85,-169747.65,-57435.01,158472.98,66.16,35.52,54.4
EXE0006,2026-01-12,ACO006,Asia,Consumer,SELL,Urgent,Manual Hedge,XHKG,HXAS_HIGHBETA,129.46,129.17,129.86,130.17,3113,3033,97.44,13.83,4.0,1.21,6.78,22.06,22.06,866.19,-240446.94,-68237.39,211058.29,71.62,16.1,41.42
EXE0007,2026-01-13,USE007,US,Semis,BUY,Patient,Liquidity Seeking,XNAS,HXUS,77.27,77.34,78.01,77.19,6824,6318,92.59,19.78,42.03,1.42,3.94,8.52,8.52,415.94,130873.27,16316.13,116553.59,87.53,36.16,73.89
EXE0008,2026-01-14,EHE008,Europe,Healthcare,SELL,Urgent,VWAP,XAMS,HXEU_GROWTH,82.53,82.42,82.49,83.2,8859,8586,96.92,18.49,23.49,1.48,6.69,13.24,13.24,938.17,156856.09,82664.03,128044.39,47.3,13.11,55.27
EXE0009,2026-01-15,ACO009,Asia,Consumer,BUY,Patient,TWAP,XTKS,HXAS,46.42,46.47,46.47,46.09,18867,17474,92.62,14.35,51.99,1.46,6.94,10.46,10.46,848.54,97611.22,18381.17,101119.75,81.17,27.25,67.51
EXE0010,2026-01-16,USE010,US,Semis,SELL,Normal,Manual Hedge,XNAS,HXUS_TECH,61.31,61.22,61.84,61.61,25708,25708,100.0,10.67,22.26,1.27,8.85,14.15,14.15,2230.14,-569600.46,-82208.04,453327.66,85.57,25.77,60.11
