order_id,trade_date,symbol,region,side,urgency,strategy,venue,slippage_bps,shortfall_bps,completion_rate_pct,beta_reduction_pct,time_to_flat_min,fill_quality_score
EXE0203,2026-02-04,EHE203,Europe,BUY,Urgent,Liquidity Seeking,XPAR,23.74,23.74,97.78,59.11,11.53,34.01
EXE0224,2026-03-05,EHE224,Europe,SELL,Urgent,VWAP,XAMS,23.62,23.62,99.62,77.64,5.89,38.38
EXE0025,2026-02-06,USE025,US,BUY,Patient,TWAP,XNAS,22.65,22.65,93.64,86.96,34.29,39.85
EXE0006,2026-01-12,ACO006,Asia,SELL,Urgent,Manual Hedge,XHKG,22.06,22.06,97.44,71.62,16.1,41.42
EXE0092,2026-01-06,EHE092,Europe,SELL,Urgent,VWAP,XAMS,21.95,21.95,98.18,60.82,14.95,33.87
EXE0205,2026-02-06,USE205,US,BUY,Urgent,TWAP,XNAS,21.6,21.6,100.0,66.23,19.34,38.62
EXE0150,2026-03-27,ACO150,Asia,SELL,Urgent,Manual Hedge,XHKG,21.45,21.45,98.56,63.05,16.33,40.61
EXE0119,2026-02-12,EHE119,Europe,BUY,Urgent,Liquidity Seeking,XPAR,20.83,20.83,95.3,88.61,10.34,42.19
EXE0061,2026-03-30,USE061,US,BUY,Urgent,TWAP,XNAS,20.61,20.61,96.83,80.24,24.05,44.36
EXE0011,2026-01-19,EHE011,Europe,BUY,Urgent,Liquidity Seeking,XPAR,20.58,20.58,98.15,74.6,9.51,46.76
EXE0050,2026-03-13,EHE050,Europe,SELL,Urgent,Manual Hedge,XAMS,20.54,20.54,93.99,67.31,10.02,43.21
EXE0069,2026-04-09,ACO069,Asia,BUY,Urgent,TWAP,XTKS,20.42,20.42,95.1,70.85,3.46,39.67
